,SOLI,SAP_CUS,TASK_PRIOR,Latitude
657,017152434010,0000000306,738,
658,017163278010,0000000306,718,
659,017158518010,0000000306,778,
660,017171821010,0000000306,708,
661,017152433010,0000000306,718,
662,015649931020,0000000366,735,
663,017158473010,0000000306,738,
664,017171840010,0000000306,708,
665,017158466010,0000000306,778,
666,017171864010,0000000306,778,
667,017156206010,0000000306,718,
668,017173112010,0000000306,708,
669,017171963010,0000000306,768,
670,017171969010,0000000306,788,
671,017171933010,0000000306,788,
672,017191508010,0000000306,718,
673,017171876010,0000000306,778,
674,017171965010,0000000306,778,
675,017171878010,0000000306,778,
676,017171999010,0000000306,788,
677,017156128010,0000000306,778,
678,015603907140,0000060603,764,
679,015603907330,0000060603,764,
680,017152437010,0000000306,718,
681,017171852010,0000000306,698,
682,015649966010,0000000366,735,
683,017158536010,0000000306,768,
684,017158521010,0000000306,758,
685,015603907150,0000060603,764,
686,017159791010,0000000306,738,
687,017171913010,0000000306,778,
688,017152443010,0000000306,718,
689,017172949010,0000000306,778,
690,017171980010,0000000306,698,
691,017171882010,0000000306,788,
692,017171906010,0000000306,778,
693,017172948010,0000000306,718,
694,017171912010,0000000306,778,
695,017171946010,0000000306,718,
696,017165596010,0000000306,788,
697,017155886010,0000000306,778,
698,017191546010,0000000306,788,
699,017171823010,0000000306,718,
700,017171975010,0000000306,788,
701,017171974010,0000000306,788,
702,017165607010,0000000306,788,
703,017171985010,0000000306,788,
704,017171981010,0000000306,698,
705,017171993010,0000000306,698,
706,017148578010,0000000306,738,
707,017159856010,0000000306,748,
708,017165503010,0000000306,778,
709,017173115010,0000000306,768,
710,017171961010,0000000306,788,
711,017173132010,0000000306,698,
712,017173059010,0000000306,758,
713,017191544010,0000000306,738,
714,017165658010,0000000306,758,
715,017165657010,0000000306,778,
716,017165650010,0000000306,788,
717,017173090010,0000000306,758,
718,017173100010,0000000306,788,
719,017173088010,0000000306,788,
720,017158527010,0000000306,758,
721,017191510010,0000000306,718,
722,017163270010,0000000306,698,
723,017171994010,0000000306,698,
724,017171929010,0000000306,788,
725,017173122010,0000000306,768,
726,017172951010,0000000306,708,
727,017163275010,0000000306,698,
728,017171945010,0000000306,778,
729,017171822010,0000000306,718,
730,017173029010,0000000306,788,
731,017156233010,0000000306,708,
732,017163272010,0000000306,708,
733,015677071020,0000000331,801,
734,017171909010,0000000306,788,
735,017171908010,0000000306,778,
736,017171920010,0000000306,788,
737,017171990010,0000000306,698,
738,017080613010,0000000306,768,
739,017172000010,0000000306,718,
740,017171902010,0000000306,738,
741,017173104010,0000000306,718,
742,017173054010,0000000306,778,
743,017165562010,0000000306,788,
744,017173140010,0000000306,708,
745,017171989010,0000000306,718,
746,015743532010,0000000361,739,
747,017173108010,0000000306,718,
748,017165502010,0000000306,738,
749,017152596010,0000000306,738,
750,015649937050,0000000366,735,
751,017173144010,0000000306,718,
752,017173086010,0000000306,708,
753,017173124010,0000000306,718,
754,017176980010,0000000361,739,
755,017223525010,0000000306,788,
756,017159096010,0000000306,708,
757,017171971010,0000000306,718,
758,017171838010,0000000306,718,
759,017173080010,0000000306,698,
760,017171848010,0000000306,788,
761,017171867010,0000000306,778,
762,017171995010,0000000306,698,
763,017171888010,0000000306,718,
764,017171874010,0000000306,778,
765,017173103010,0000000306,718,
766,017171869010,0000000306,778,
767,017171881010,0000000306,788,
768,017152484010,0000000306,708,
769,017171959010,0000000306,778,
770,017171991010,0000000306,698,
771,017171992010,0000000306,698,
772,015703452050,0000000361,739,
773,017159860010,0000000306,758,
774,017171931010,0000000306,788,
775,017171983010,0000000306,788,
776,017165635010,0000000306,788,
777,015879673010,0000058480,704,
778,017152456010,0000000306,718,
779,017173113010,0000000306,708,
780,017159862010,0000000306,748,
781,015791565010,0000060569,754,
782,017172939010,0000000306,778,
783,017173130010,0000000306,708,
784,017171826010,0000000306,718,
785,017173143010,0000000306,718,
786,017173114010,0000000306,718,
787,017171998010,0000000306,718,
788,017163265010,0000000306,718,
789,017173119010,0000000306,778,
790,017209161010,0000000306,758,
791,015799789010,0000055772,764,
792,017152477010,0000000306,718,
793,017171818010,0000000306,708,
794,017171824010,0000000306,718,
795,017163300010,0000000306,708,
796,017171849010,0000000306,738,
797,017156242010,0000000306,768,
798,017173096010,0000000306,758,
799,017224188010,0000000306,778,
800,017152476010,0000000306,708,
801,017173109010,0000000306,708,
802,017165605010,0000000306,778,
803,017159823010,0000000306,768,
804,017165505010,0000000306,718,
805,017172965010,0000000306,718,
806,017191520010,0000000306,788,
807,017152598010,0000000306,708,
808,017173110010,0000000306,708,
809,017165504010,0000000306,778,
810,017171827010,0000000306,708,
811,017171927010,0000000306,788,
812,017171919010,0000000306,758,
813,017165552010,0000000306,778,
814,017190348010,0000000361,739,
815,015603907320,0000060603,764,
816,017148488010,0000000306,718,
817,017165489010,0000000306,698,
818,017173101010,0000000306,718,
819,017171835010,0000000306,718,
820,017171883010,0000000306,778,
821,017191527010,0000000306,788,
822,017173070010,0000000306,718,
823,015800230080,0000055772,764,
824,017165603010,0000000306,788,
825,017191634010,0000000306,778,
826,017148506010,0000000306,708,
827,017191631010,0000000306,778,
828,017171850010,0000000306,738,
829,017191543010,0000000306,788,
830,015603907340,0000060603,764,
831,017191518010,0000000306,768,
832,015800230090,0000055772,764,
833,017159839010,0000000306,758,
834,017172959010,0000000306,778,
835,017191633010,0000000306,778,
836,015800230040,0000055772,764,
837,015800230050,0000055772,764,
838,017171834010,0000000306,738,
839,015800230220,0000055772,764,
840,015800230120,0000055772,764,
841,017156220010,0000000306,768,
842,015800230020,0000055772,764,
843,015800230200,0000055772,764,
844,017173069010,0000000306,718,
845,017191519010,0000000306,788,
846,017191537010,0000000306,788,
847,017191541010,0000000306,788,
848,017171901010,0000000306,778,
849,015800230150,0000055772,764,
850,017191539010,0000000306,788,
851,017191547010,0000000306,778,
852,017191629010,0000000306,788,
853,017173056010,0000000306,778,
854,017191517010,0000000306,778,
855,017191526010,0000000306,778,
856,017191540010,0000000306,788,
857,017191551010,0000000306,788,
858,017171841010,0000000306,718,
859,017191628010,0000000306,778,
860,017191627010,0000000306,788,
861,015800230010,0000055772,764,
862,017191549010,0000000306,778,
863,015800230130,0000055772,764,
864,015800230140,0000055772,764,
865,017191548010,0000000306,778,
866,017191523010,0000000306,788,
867,015773024050,0000000366,735,
868,017171960010,0000000306,778,
869,017148480010,0000000306,718,
870,017226148010,0000035915,700,
871,017156237010,0000000306,758,
872,017173055010,0000000306,768,
873,017191545010,0000000306,778,
874,017159106010,0000000306,708,
875,017159834010,0000000306,738,
876,017151356010,0000000306,708,
877,017223512010,0000000306,778,
878,017209130010,0000000306,768,
879,017165512010,0000000306,778,
880,017173087010,0000000306,788,
881,017163299010,0000000306,718,
882,017165499010,0000000306,788,
883,017191530010,0000000306,768,
884,015717652440,0000012620,744,
885,015838411070,0000060569,754,
886,017171871010,0000000306,768,
887,017208537010,0000000306,768,
888,017152589010,0000000306,718,
889,017165574010,0000000306,748,
890,015799789040,0000055772,764,
891,017156207010,0000000306,768,
892,015913019010,0000010250,754,
893,017148458010,0000000306,698,
894,015799789030,0000055772,764,
895,017148451010,0000000306,748,
896,017206862010,0000000306,768,
897,015800230160,0000055772,764,
898,017171955010,0000000306,708,
899,017173033010,0000000306,698,
900,017159896010,0000000306,738,
901,015800230030,0000055772,764,
902,017156216010,0000000306,698,
903,017212706010,0000020583,764,
904,017152452010,0000000306,708,
905,017216610010,0000000306,788,
906,015838411040,0000060569,754,
907,017171839010,0000000306,738,
908,017156217010,0000000306,698,
909,015800230110,0000055772,764,
910,015800230100,0000055772,764,
911,015800230170,0000055772,764,
912,017066577010,0000000306,758,
913,015838411090,0000060569,754,
914,015838411080,0000060569,754,
915,015904982040,0000000326,801,
916,015882913050,0000000381,744,
917,017171953010,0000000306,698,
918,015812587020,0000000331,801,
919,015800230060,0000055772,764,
920,015717652260,0000012620,744,
921,015799789070,0000055772,764,
922,015882939050,0000000381,744,
923,017226194010,0000044924,760,
924,017224252010,0000000306,778,
